ScientistName#preparation#date#components#hash
Ланчеков Алексей Тимофеевич#Зылорик#1489-05-21#Chemical_63 Chemical_71 Chemical_40#952
Ампипогов Михаил Юрьевич#Иммунивит#1664-02-17#Chemical_100 Chemical_6 Chemical_44#1063
Тюлюлюева Анна Яковлевна#Нитросорбид#1827-09-25#Chemical_18 Chemical_69 Chemical_93#347
Неветруева Елена Эдуардовна#Гидрохлоротиазид#0902-11-21#Chemical_15 Chemical_82 Chemical_21#1409
Курочкин Руслан Аркадиевич#Золедроновая кислота#1389-01-05#Chemical_44 Chemical_62 Chemical_73#1441
Рутковский Антон Кириллович#Бактрим#1327-01-22#Chemical_19 Chemical_27 Chemical_68#1441
Шабунов Юрий Алексиевич#Парацетамол#0970-10-22#Chemical_41 Chemical_31 Chemical_39#1139
Кожетев Максим Аркадиевич#Алпразолам#1743-04-03#Chemical_26 Chemical_76 Chemical_16#1097
Хусаинов Антон Алексеевич#Росувастатин#0949-06-08#Chemical_89 Chemical_77 Chemical_35#1808
Вендеров Никита Тимофеевич#Витамин С#1119-02-24#Chemical_43 Chemical_97 Chemical_3#514
Дергунская Яна Эдуардовна#Колчицин#1909-04-19#Chemical_70 Chemical_7 Chemical_23#1379
Заботнов Анатолий Максимович#Тианептин#1454-04-22#Chemical_75 Chemical_98 Chemical_63#726
Рубинов Руслан Иванович#Рамиприл#1276-02-24#Chemical_38 Chemical_46 Chemical_16#836
Крючатов Ярослав Антонович#Миртазапин#1734-03-17#Chemical_51 Chemical_64 Chemical_70#295
Жебракова Полина Игоревна#Бисопролол#1886-02-19#Chemical_87 Chemical_27 Chemical_19#686
Данивецкая Виолетта Эдуардовна#Золедроновая кислота#1451-11-13#Chemical_37 Chemical_65 Chemical_92#1451
Мятлев Георгий Денисович#Азитромицин#1987-08-26#Chemical_16 Chemical_14 Chemical_48#2034
Нетунаев Руслан Петрович#Клопидогрел#1969-06-01#Chemical_99 Chemical_87 Chemical_25#484
Аранышев Иван Юрьевич#Тианептин#1035-08-27#Chemical_56 Chemical_60 Chemical_53#176
Курмелев Леонид Николаевич#Спазмалгон#1543-08-10#Chemical_44 Chemical_43 Chemical_15#754
Арончикова Вероника Викторовна#Живина#2000-01-25#Chemical_22 Chemical_91 Chemical_60#1376
Гизулина Галина Ивановна#Омепразол#1875-10-22#Chemical_9 Chemical_3 Chemical_59#24
Мразевский Артём Викторович#Диклофенак#1450-12-12#Chemical_98 Chemical_9 Chemical_50#864
Окладнова Алена Максимовна#Агонал#1765-03-28#Chemical_26 Chemical_32 Chemical_27#765
Курыпина Анастасия Валерьевна#Золекс#1663-06-14#Chemical_1 Chemical_94 Chemical_63#1526
Алтамонов Борис Аркадиевич#Оланзапин#1215-11-17#Chemical_57 Chemical_81 Chemical_21#1601
Бардаева Анна Михайловна#Пароксетин#1368-03-04#Chemical_20 Chemical_65 Chemical_42#1301
Родных Игорь Михаилович#Валидол#1123-03-07#Chemical_77 Chemical_45 Chemical_100#1541
Маговский Константин Юриевич#Ацетилсалициловая кислота#1315-08-02#Chemical_73 Chemical_92 Chemical_9#159
Гергиев Олег Кириллович#Омепразол#1333-04-12#Chemical_6 Chemical_93 Chemical_45#1040
Русалина Дарья Алексеевна#Ибупрофен#1390-11-03#Chemical_26 Chemical_30 Chemical_82#1734
Бухтулова Виктория Алексеевна#Бромгексин#1408-11-08#Chemical_72 Chemical_8 Chemical_45#862
Сабаткоев Федор Викторович#Нимесулид#1531-01-04#Chemical_55 Chemical_67 Chemical_74#432
Шмитов Никита Игоревич#Левофлоксацин#1817-07-04#Chemical_41 Chemical_81 Chemical_61#1538
Стенцова Лиза Петровна#Диклофенак#1261-11-17#Chemical_65 Chemical_13 Chemical_29#1035
Ярычевский Максим Евгеньевич#Глюкозамин#1106-01-17#Chemical_34 Chemical_86 Chemical_88#1177
Шкваркин Федор Юрьевич#Тианептин#0929-07-27#Chemical_67 Chemical_56 Chemical_43#1901
Магусумова Ирина Олеговна#Дикарбазин#0991-07-16#Chemical_51 Chemical_15 Chemical_2#1425
Шаморкина Галина Федоровна#Кладрибин#1633-08-02#Chemical_61 Chemical_62 Chemical_48#220
Цицеров Альберт Антонович#Небиволол#1820-01-05#Chemical_6 Chemical_48 Chemical_7#1524
Улерьянова Ксения Евгеньевна#Диклофенак#1523-11-17#Chemical_1 Chemical_14 Chemical_96#1008
Ханмурзина Карина Игоревна#Енап#1309-08-18#Chemical_21 Chemical_1 Chemical_34#362
Гарская Евгения Никитична#Пилипен#1983-11-20#Chemical_2 Chemical_15 Chemical_11#1795
Гнетнев Григорий Денисович#Евалар солгар мультивитамини#1074-07-16#Chemical_12 Chemical_69 Chemical_99#879
Бельцов Алексей Яковлевич#Ретардин#2011-04-09#Chemical_2 Chemical_23 Chemical_92#1478
Федурин Владимир Алексеевич#Амитриптилин#0982-10-20#Chemical_5 Chemical_75 Chemical_78#1018
Акацков Анатолий Кириллович#Бетаин#1567-02-19#Chemical_73 Chemical_17 Chemical_48#488
Кумакова Жанна Борисовна#Лоразепам#1605-07-21#Chemical_70 Chemical_36 Chemical_6#302
Кобызева Ольга Андреевна#Лантус#1198-01-23#Chemical_25 Chemical_64 Chemical_89#520
Кимятов Владимир Евгеньевич#Дектанол#1854-12-15#Chemical_43 Chemical_98 Chemical_34#1974
Милавина Виолетта Аркадьевна#Росувастатин#1215-12-04#Chemical_40 Chemical_57 Chemical_47#1207
Манетов Павел Павлович#Бисакодил#0969-07-05#Chemical_11 Chemical_13 Chemical_51#319
Сайдакова Людмила Вадимовна#Мелоксикам#1620-02-12#Chemical_3 Chemical_23 Chemical_56#978
